City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
乐山,67,48,68,0.9,37,45,31,6
凉山州,52,16,31,0.74,8,83,101,8
连云港,72,45,92,0.78,34,84,101,13
聊城,84,42,115,0.93,88,16,75,17
辽阳,89,66,78,1.0,45,32,64,19
辽源,34,17,33,0.8,25,39,67,10
丽江,56,18,60,0.77,18,78,99,7
临安,54,22,55,0.8,32,47,71,5
临沧,106,79,106,1.0,22,78,122,12
临汾,55,29,58,0.9,23,84,89,15
临夏州,62,28,72,1.5,49,28,87,17
临沂,81,42,109,0.53,49,59,92,21
林芝,45,15,23,0.5,5,88,88,1
林芝地区,18,4,16,0.35,6,51,35,3
丽水,34,13,20,0.53,16,57,66,5
六盘水,66,47,71,0.86,27,42,48,14
柳州,42,29,37,0.95,23,40,51,14
溧阳,71,51,86,1.2,43,48,91,9
陇南,75,52,98,1.95,70,10,49,31
龙岩,61,43,0,0.7,21,53,51,5
娄底,59,39,65,0.55,32,56,92,4
六安,84,37,91,0.75,165,18,72,8
漯河,70,50,83,0.43,28,76,104,10
洛阳,68,23,83,0.57,72,29,84,18
泸州,63,44,69,0.78,56,6,30,9
吕梁,61,8,70,0.8,53,25,80,54
马鞍山,76,46,99,0.64,91,37,91,14
茂名,33,23,31,0.75,15,57,65,3
眉山,55,36,57,0.7,43,30,56,10
梅州,35,24,0,0.77,23,46,66,5
绵阳,47,25,46,0.33,35,62,93,6
牡丹江,59,34,65,0.66,30,43,68,4
南昌,58,24,64,0.8,68,31,89,2
南充,67,48,82,0.54,39,43,73,5
南京,73,40,94,0.82,99,24,98,11
南宁,69,49,60,0.94,34,32,41,10
南平,59,41,49,0.73,23,47,77,4
南通,71,51,48,0.46,66,29,57,9
南阳,71,47,90,1.0,66,32,76,5
那曲地区,36,19,30,0.63,7,62,70,4
内江,74,53,93,0.98,59,14,39,10
宁波,33,20,32,0.76,47,34,61,6
宁德,41,11,17,0.6,11,77,81,4
怒江州,115,66,177,1.35,50,62,82,10
盘锦,49,34,46,0.77,44,40,67,13
攀枝花,85,62,115,0.98,74,43,101,22
蓬莱,72,45,92,1.15,56,39,67,31
平顶山,63,38,74,0.6,47,74,108,15
平度,59,19,65,0.75,35,50,58,7
平凉,64,25,75,0.6,61,34,90,12
萍乡,77,56,75,0.94,24,41,60,8
普洱,83,61,78,0.65,27,100,123,5
莆田,48,10,16,0.46,15,90,94,3
濮阳,73,49,94,0.9,34,67,89,12
黔东南州,37,13,20,0.6,26,65,73,52
黔南州,30,21,0,0.3,13,44,54,19
黔西南州,53,36,45,0.35,14,60,59,3
青岛,50,16,49,0.57,53,43,68,8
庆阳,57,20,62,0.43,14,79,89,10
清远,63,44,50,0.8,18,61,74,7
秦皇岛,60,35,67,0.9,51,42,59,17
钦州,94,70,80,1.13,16,65,67,10
齐齐哈尔,44,24,43,0.5,15,56,67,23
七台河,62,39,71,0.87,32,46,72,10
泉州,56,9,9,0.35,13,101,105,6
曲靖,52,31,52,1.05,24,46,44,12
衢州,50,35,49,0.5,55,27,61,3
日喀则,48,8,21,0.45,8,98,94,8
日喀则地区,29,6,27,0.35,2,68,56,5
日照,63,33,74,0.33,36,45,63,5
荣成,66,36,57,1.1,35,95,118,11
乳山,51,30,50,0.95,33,68,81,8
三门峡,80,36,107,1.08,94,14,85,17
三明,74,53,66,0.93,38,7,46,6
三沙,30,7,20,0.3,30,51,58,6
三亚,38,26,30,0.65,17,36,53,1
上海,39,27,31,0.63,55,51,73,5
商洛,48,23,47,0.45,33,55,90,4
商丘,216,165,208,1.49,78,7,33,10
上饶,56,27,60,0.35,12,67,77,11
山南,67,22,82,0.55,3,89,90,3
山南地区,40,5,21,0.45,6,65,79,4
汕头,44,30,40,0.7,18,86,87,7
汕尾,41,10,12,0.63,9,76,81,7
韶关,55,38,50,1.0,21,64,64,9
绍兴,65,20,77,0.62,29,49,62,6
邵阳,64,45,49,0.8,21,60,91,12
沈阳,61,34,69,0.79,72,16,56,21
深圳,42,28,41,0.71,29,57,54,4
石河子,108,80,121,1.35,42,33,43,6
石家庄,59,25,66,0.48,33,57,75,6
十堰,63,34,74,0.93,34,54,80,8
石嘴山,56,16,59,0.63,36,60,85,52
寿光,46,19,45,0.8,47,34,67,16
双鸭山,75,54,77,0.7,36,21,52,4
朔州,45,15,42,0.52,21,69,88,11
四平,72,52,89,1.17,62,13,54,20
松原,58,40,46,0.8,28,38,67,7
绥化,96,71,77,0.55,8,86,84,8
遂宁,59,38,66,0.63,38,33,62,16
随州,84,42,116,1.13,74,18,88,12
宿迁,96,71,118,0.98,51,45,84,14
苏州,72,52,61,0.45,68,26,56,5
宿州,90,53,127,0.63,74,33,79,10
塔城地区,46,8,45,0.8,6,64,78,5
泰安,60,30,67,0.83,65,22,73,15
太仓,61,43,57,0.6,73,24,67,12
太原,60,20,67,0.56,46,47,83,6
台州,42,12,28,0.47,17,67,82,3
泰州,96,71,110,0.75,59,49,93,5
唐山,57,29,61,0.6,57,26,57,10
天津,60,20,67,0.79,61,28,60,15
天水,69,38,86,1.1,48,39,80,16
铁岭,93,69,98,0.83,63,20,57,25
铜川,64,33,76,0.63,65,32,89,11
通化,55,27,57,0.6,30,23,46,7
通辽,54,31,55,0.63,33,43,70,12
铜陵,66,38,80,0.83,70,50,89,14
铜仁地区,56,32,59,0.85,57,5,63,3
吐鲁番地区,111,83,154,1.5,84,33,90,16
瓦房店,115,86,116,1.35,64,30,74,38
潍坊,69,36,85,0.78,69,19,70,17
威海,99,74,113,0.73,62,51,85,5
渭南,56,22,60,0.48,75,25,76,15
文登,70,32,87,0.9,33,93,111,8
文山州,69,49,54,1.0,19,46,84,12
温州,35,20,34,0.48,30,60,64,6
乌海,45,18,34,0.53,28,62,88,12
武汉,70,38,87,0.77,63,62,97,7
芜湖,63,34,73,0.73,91,42,90,10
吴江,65,46,62,0.83,58,41,74,13
五家渠,127,96,104,1.6,19,41,46,5
乌兰察布,44,8,33,0.2,8,87,87,16
乌鲁木齐,83,61,70,1.4,42,32,47,6
武威,58,34,63,0.85,38,62,96,9
无锡,66,47,71,0.71,42,53,88,7
吴忠,56,27,60,0.73,51,44,82,15
梧州,60,42,51,0.9,13,66,66,9
厦门,48,21,29,0.43,17,88,95,3
西安,64,29,75,0.83,90,17,77,7
湘潭,91,67,77,0.96,44,40,72,9
湘西州,47,23,46,1.0,21,15,53,7
襄阳,57,32,61,0.5,33,76,94,12
咸宁,61,41,69,0.5,20,77,112,5
咸阳,74,49,96,0.9,67,36,78,10
孝感,62,40,72,0.8,16,78,108,5
锡林郭勒盟,37,11,15,0.1,4,69,72,7
兴安盟,45,29,44,0.37,15,57,72,4
邢台,74,39,96,0.65,66,22,70,12
西宁,55,28,57,0.9,33,84,97,16
新乡,67,40,81,1.15,58,43,83,19
信阳,63,30,60,0.6,26,89,114,5
新余,52,26,51,0.73,34,46,69,11
忻州,44,12,40,0.53,40,56,87,43
西双版纳州,89,63,125,0.7,56,55,118,7
宣城,71,33,90,0.7,63,55,88,5
许昌,62,23,72,0.67,32,77,104,14
徐州,95,64,138,1.23,87,13,72,22
雅安,35,21,34,0.48,32,28,42,7
延安,78,37,104,1.65,75,5,66,24
延边州,41,18,31,0.57,17,64,80,10
盐城,87,64,107,0.88,62,49,96,10
阳江,115,86,0,0.9,33,38,43,7
阳泉,53,24,54,0.48,40,50,81,11
扬州,96,71,110,0.68,59,39,80,10
烟台,81,43,109,0.93,72,23,66,19
宜宾,83,61,91,0.98,62,4,32,17
宜昌,71,37,90,0.86,63,22,80,8
宜春,56,36,59,0.63,33,42,72,10
伊春,35,12,29,0.4,14,53,68,5
伊犁哈萨克,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,92,42,132,1.93,75,21,76,23
银川,49,23,48,0.63,35,58,80,23
营口,50,27,49,0.53,46,41,61,7
鹰潭,56,39,0,0.45,22,55,69,18
义乌,40,20,39,0.6,56,22,57,5
宜兴,60,37,68,0.7,89,7,55,20
益阳,81,59,88,1.13,40,71,107,7
永州,59,41,47,0.5,33,62,74,7
岳阳,70,45,87,1.23,64,51,108,7
玉林,105,78,98,1.07,18,59,55,8
榆林,54,22,55,1.04,69,18,45,27
运城,85,52,118,0.78,49,57,102,17
云浮,56,39,54,0.9,33,47,44,7
玉树州,37,3,17,0.4,10,67,72,11
玉溪,65,46,76,0.9,23,90,114,10
枣庄,105,69,157,0.73,77,34,86,40
张家港,78,57,74,0.3,59,36,74,4
张家界,40,22,38,0.78,20,49,79,3
张家口,80,19,107,0.62,8,88,94,10
章丘,84,28,115,0.45,59,29,65,13
张掖,61,36,69,0.5,33,68,101,10
漳州,76,55,67,0.63,29,67,76,3
湛江,55,38,40,0.7,17,68,87,5
肇庆,54,37,46,0.85,23,67,78,6
昭通,38,15,37,0.7,16,66,62,4
招远,76,52,100,0.0,52,26,72,37
郑州,69,19,86,0.44,31,61,88,5
镇江,116,87,112,0.9,82,40,82,8
中山,54,37,52,0.78,68,9,18,7
中卫,45,20,37,0.63,41,53,88,11
周口,69,33,86,0.6,32,77,105,9
舟山,29,15,28,0.47,37,30,55,4
珠海,52,35,51,0.88,64,21,29,4
诸暨,43,30,40,0.7,48,21,73,4
驻马店,61,33,64,0.27,16,94,111,5
株洲,109,81,95,0.86,76,18,65,8
淄博,78,49,104,0.97,70,20,70,32
自贡,67,41,81,0.7,51,8,29,14
资阳,76,52,99,0.72,67,11,50,7
遵义,32,22,30,0.62,33,27,35,12
